мужчина;женщина;87
мужчина;сильный;43
мужчина;высокий;27
мужчина;красивый;16
мужчина;и женщина;13
мужчина;сила;12
мужчина;средних лет;12
мужчина;красавец;10
мужчина;настоящий;9
мужчина;человек;9
мужчина;в возрасте;8
мужчина;молодой;7
мужчина;пожилой;7
мужчина;любимый;6
мужчина;мужик;6
мужчина;умный;6
мужчина;друг;5
мужчина;он;5
мужчина;в шляпе;4
мужчина;интересный;4
мужчина;самец;4
мужчина;старый;4
мужчина;/;3
мужчина;костюм;3
мужчина;любовь;3
мужчина;мой;3
мужчина;обаятельный;3
мужчина;отец;3
мужчина;симпатичный;3
мужчина;хозяин;3
мужчина;хороший;3
мужчина;элегантный;3
мужчина;благородный;2
мужчина;боец;2
мужчина;в годах;2
мужчина;в расцвете лет;2
мужчина;вежливый;2
мужчина;веселый;2
мужчина;видный;2
мужчина;глупый;2
мужчина;джентльмен;2
мужчина;знакомый;2
мужчина;крутой;2
мужчина;лысый;2
мужчина;молодец;2
мужчина;муж;2
мужчина;мужественный;2
мужчина;мужество;2
мужчина;надежный;2
мужчина;не женщина;2
мужчина;полный;2
мужчина;смелый;2
мужчина;солидный;2
мужчина;стройный;2
мужчина;ум;2
мужчина;холостой;2
мужчина;черный;2
мужчина;эгоист;2
ни;ни;11
ни;за что;7
ни;не;6
ни;кто;4
ни;/;3
ни;о чем;3
ни;черта;3
ни;зги;2
ни;ни-ни;2
ни;никогда;2
приличный;человек;25
приличный;костюм;14
приличный;дом;6
приличный;вид;3
приличный;мужчина;3
приличный;заработок;2
приличный;неприличный;2
приличный;опрятный;2
приличный;отличный;2
приличный;хороший;2
женщина;мужчина;71
женщина;красивая;66
женщина;мать;36
женщина;в белом;19
женщина;молодая;11
женщина;красота;10
женщина;милая;10
женщина;умная;8
женщина;добрая;7
женщина;/;6
женщина;жена;6
женщина;любимая;6
женщина;привлекательная;6
женщина;деловая;5
женщина;и мужчина;5
женщина;интересная;5
женщина;любовь;5
женщина;пожилая;5
женщина;с ребенком;5
женщина;девушка;4
женщина;которая поет;4
женщина;мудрая;4
женщина;обаятельная;4
женщина;человек;4
женщина;элегантная;4
женщина;врач;3
женщина;загадка;3
женщина;мама;3
женщина;полная;3
женщина;прекрасна;3
женщина;прекрасная;3
женщина;приятная;3
женщина;ребенок;3
женщина;симпатичная;3
женщина;баба;2
женщина;в черном;2
женщина;глупая;2
женщина;друг;2
женщина;дура;2
женщина;душа;2
женщина;загадочная;2
женщина;красавица;2
женщина;красива;2
женщина;моя;2
женщина;нежность;2
женщина;обнаженная;2
женщина;одинокая;2
женщина;она;2
женщина;поет;2
женщина;святость;2
женщина;сестра;2
женщина;слабая;2
женщина;старая;2
женщина;странная;2
женщина;сумки;2
женщина;толстый;2
женщина;усталая;2
женщина;хорошая;2
пойти;в кино;73
пойти;гулять;59
пойти;учиться;33
пойти;домой;18
пойти;погулять;15
пойти;в гости;13
пойти;туда;12
пойти;в магазин;11
пойти;в театр;11
пойти;кино;11
пойти;куда;10
пойти;в лес;8
пойти;уйти;7
пойти;выйти;6
пойти;улица;5
пойти;/;4
пойти;вернуться;4
пойти;войти;4
пойти;замуж;4
пойти;лес;4
пойти;навстречу;4
пойти;поехать;4
пойти;прийти;4
пойти;туда= не знаю куда;4
пойти;школа;4
пойти;в кафе;3
пойти;в цирк;3
пойти;в школу;3
пойти;вперед;3
пойти;дальше;3
пойти;и не вернуться;3
пойти;куда-то;3
пойти;на улицу;3
пойти;найти;3
пойти;не вернуться;3
пойти;ноги;3
пойти;отправиться;3
пойти;в институт;2
пойти;в кабак;2
пойти;в народ;2
пойти;в сад;2
пойти;в туалет;2
пойти;вон;2
пойти;далеко;2
пойти;до конца;2
пойти;зайти;2
пойти;идти;2
пойти;куда-нибудь;2
пойти;купаться;2
пойти;магазин;2
пойти;мимо;2
пойти;на концерт;2
пойти;на прогулку;2
пойти;передвигаться;2
пойти;пешком;2
пойти;прогуляться;2
пойти;пройтись;2
пойти;прямо;2
пойти;сходить;2
дурак;набитый;7
дурак;полный;7
дурак;круглый;6
дурак;/;4
дурак;сам дурак;4
дурак;умный;4
дурак;человек;3
дурак;глупый;2
дурак;дураком;2
дурак;не умный;2
дурак;сам;2
дурак;сосед;2
дурак;тупой;2
хороший;человек;95
хороший;друг;90
хороший;плохой;79
хороший;день;36
хороший;мальчик;20
хороший;муж;19
хороший;товарищ;18
хороший;добрый;15
хороший;парень;15
хороший;вкус;11
хороший;/;6
хороший;приятный;6
хороший;ученик;6
хороший;фильм;6
хороший;дом;5
хороший;отличный;5
хороший;поступок;5
хороший;лучший;4
хороший;отец;4
хороший;концерт;3
хороший;конь;3
хороший;мой;3
хороший;мягкий;3
хороший;пес;3
хороший;сон;3
хороший;урок;3
хороший;хлеб;3
хороший;аппетит;2
хороший;врач;2
хороший;дурак;2
хороший;дядя;2
